,s_no,Volume,distance,Time,Date
135655,135660,38173.3,195.45,09:00,19-10-31
135656,135661,38090.3,195.03,09:01,19-10-31
135657,135662,38173.3,195.45,09:02,19-10-31
135658,135663,38176.7,195.47,09:03,19-10-31
135659,135664,38585.1,197.56,09:04,19-10-31
135660,135665,38173.3,195.45,09:07,19-10-31
135661,135666,38093.7,195.04,09:08,19-10-31
135662,135667,38093.7,195.04,09:09,19-10-31
135663,135668,38093.7,195.04,09:10,19-10-31
135664,135669,38093.7,195.04,09:11,19-10-31
135665,135670,38093.7,195.04,09:12,19-10-31
135666,135671,38183.3,195.5,09:13,19-10-31
135667,135672,38097.0,195.06,09:14,19-10-31
135668,135673,38014.0,194.64,09:15,19-10-31
135669,135674,38100.3,195.08,09:16,19-10-31
135670,135675,38014.0,194.64,09:17,19-10-31
135671,135676,38512.0,197.19,09:18,19-10-31
135672,135677,38186.6,195.52,09:19,19-10-31
135673,135678,38189.9,195.54,09:20,19-10-31
135674,135679,38106.9,195.11,09:21,19-10-31
135675,135680,38186.6,195.52,09:22,19-10-31
135676,135681,38106.9,195.11,09:23,19-10-31
135677,135682,38100.3,195.08,09:24,19-10-31
135678,135683,38097.0,195.06,09:25,19-10-31
135679,135684,38097.0,195.06,09:26,19-10-31
135680,135685,38189.9,195.54,09:27,19-10-31
135681,135686,38193.3,195.55,09:28,19-10-31
135682,135687,38097.0,195.06,09:29,19-10-31
135683,135688,38100.3,195.08,09:30,19-10-31
135684,135689,38103.6,195.1,09:31,19-10-31
135685,135690,38196.6,195.57,09:32,19-10-31
135686,135691,38193.3,195.55,09:33,19-10-31
135687,135692,38113.6,195.15,09:34,19-10-31
135688,135693,38189.9,195.54,09:35,19-10-31
135689,135694,38110.3,195.13,09:36,19-10-31
135690,135695,38027.2,194.7,09:37,19-10-31
135691,135696,38614.9,197.71,09:38,19-10-31
135692,135697,38030.6,194.72,09:39,19-10-31
135693,135698,38033.9,194.74,09:40,19-10-31
135694,135699,38113.6,195.15,09:41,19-10-31
135695,135700,38113.6,195.15,09:42,19-10-31
135696,135701,38023.9,194.69,09:43,19-10-31
135697,135702,38116.9,195.16,09:44,19-10-31
135698,135703,38196.6,195.57,09:45,19-10-31
135699,135704,38120.2,195.18,09:46,19-10-31
135700,135705,38113.6,195.15,09:47,19-10-31
135701,135706,38033.9,194.74,09:48,19-10-31
135702,135707,38030.6,194.72,09:49,19-10-31
135703,135708,38030.6,194.72,09:50,19-10-31
135704,135709,38030.6,194.72,09:51,19-10-31
135705,135710,38116.9,195.16,09:52,19-10-31
135706,135711,38203.2,195.61,09:53,19-10-31
135707,135712,38120.2,195.18,09:54,19-10-31
135708,135713,38206.5,195.62,09:55,19-10-31
135709,135714,38113.6,195.15,09:56,19-10-31
135710,135715,38116.9,195.16,09:57,19-10-31
135711,135716,38033.9,194.74,09:58,19-10-31
135712,135717,37947.6,194.3,09:59,19-10-31
135713,135718,38116.9,195.16,10:00,19-10-31
